customer_id,age,annual_income,spending_score,gender,city,membership_years,last_purchase_amount
1,40,39822.57904269167,58.707156191670464,Female,Houston,2.3543118555890423,68.9054531117573
2,33,45417.508054195205,57.08308981339166,Female,Houston,0.47008183369140144,41.45723554651336
3,42,,26.58700385486272,Female,Los Angeles,1.8661640192183078,53.11081276897867
4,53,51656.2707041918,64.48960554409345,Female,New York,0.09019720773102521,389.0250850752992
5,32,67957.67797192869,12.747933110584547,Male,Chicago,3.335717147932499,75.8418558723588
6,32,38434.36764288193,33.64539185599178,Female,Chicago,3.3795994622415733,118.05233277183405
7,53,65012.30746652621,0.022804677554805197,Female,Chicago,0.7475839403145332,24.57637894509708
8,44,38274.91891479668,88.96566292407037,Male,Los Angeles,0.22280060593918044,127.2986695856339
9,29,37285.591812546736,44.21126265136761,Female,New York,2.7546609559530344,36.63693955433661
10,41,,104.17210087040779,Female,Los Angeles,1.2705658094254328,9.571257185912309
11,29,63829.045670114254,70.07374816298737,Male,Phoenix,5.17965384401557,67.50557329900522
12,29,62771.14905143982,61.20245533377561,Female,Phoenix,0.8723166502104792,61.868639904683896
13,37,,35.34430764297502,Male,Houston,3.684115327954288,78.0386496988512
14,12,43010.73532891924,23.841249107814505,Female,New York,0.05129806009970983,41.87546495177151
15,14,62344.82888004982,63.07428934742363,Male,Chicago,2.9637947253247545,156.06736170330015
16,28,50623.12760845842,48.21214976817544,Female,New York,2.2679600970637313,74.31324167627604
17,22,,16.518242112867476,Male,Houston,1.4942257058787667,39.170532919043026
18,38,56874.76908688163,12.078539587292036,Female,Chicago,4.825377761645949,159.8892151231629
19,24,39277.891115127946,26.032406771410404,Female,Los Angeles,5.695010389242302,78.83790117136859
20,18,76917.87272588318,95.52418063165577,Male,Chicago,5.309544891492431,63.2148384098506
21,52,73172.62193627388,105.3319479502826,Male,Phoenix,1.821626171527939,33.77719368425447
22,32,59061.461395333514,55.12472868272275,Male,Los Angeles,1.4654251431835148,394.84481965299597
23,35,70415.1005715466,53.72356990603221,Female,Chicago,0.6266071516246804,20.26745373075609
24,17,50971.87025185072,41.591990704261974,Male,Los Angeles,0.3536422702763135,38.25482241797528
25,28,61481.56241562524,26.637866292262444,Female,Phoenix,1.6287977492900219,38.40448002539299
26,36,72165.80442953113,84.3794764401811,Male,Phoenix,0.32150386194110075,45.38890985115659
